name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
singapore,2019-02-28,32.5,26.6,28.7,38.8,26.6,32.4,23.9,75.6,0.527,100,4.17,rain,0,0,,26.6,42.3,1008.9,64.6,10.0,141.0,12.1,8,,2019-02-28T07:14:35,2019-02-28T19:19:51,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-01,32.9,26.5,28.8,38.6,26.5,31.7,23.3,72.8,0.0,0,0.0,,0,0,,30.7,36.5,1009.6,65.1,10.1,206.7,18.1,10,,2019-03-01T07:14:22,2019-03-01T19:19:42,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-02,32.9,26.5,28.8,37.5,26.5,31.3,22.4,69.1,0.0,0,0.0,,0,0,,25.5,39.7,1009.3,70.7,10.2,291.0,25.0,10,,2019-03-02T07:14:08,2019-03-02T19:19:32,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-03,32.9,24.7,28.3,38.5,24.7,30.6,22.5,71.7,0.0,0,0.0,,0,0,,22.5,46.4,1008.5,65.5,10.2,254.9,21.9,10,,2019-03-03T07:13:54,2019-03-03T19:19:22,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-04,33.6,25.5,28.6,39.4,25.5,31.3,22.9,72.2,0.026,100,4.17,rain,0,0,,17.5,43.1,1008.7,65.4,10.1,234.4,20.2,8,,2019-03-04T07:13:39,2019-03-04T19:19:11,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-05,33.3,25.6,29.0,37.5,25.6,31.6,22.8,70.2,0.0,0,0.0,,0,0,,15.6,54.1,1009.6,65.1,10.2,222.1,19.2,9,,2019-03-05T07:13:24,2019-03-05T19:19:00,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-06,32.5,27.5,29.0,38.2,31.1,33.7,24.2,75.8,0.0,0,0.0,,0,0,,19.3,34.8,1010.8,64.1,9.9,164.4,14.2,6,,2019-03-06T07:13:09,2019-03-06T19:18:48,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-07,33.8,27.6,30.0,40.7,31.2,34.7,24.0,71.8,0.0,0,0.0,,0,0,,19.9,60.9,1010.5,66.0,10.1,194.0,16.8,8,,2019-03-07T07:12:53,2019-03-07T19:18:36,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-08,34.4,26.7,29.9,40.3,26.7,34.6,24.1,72.1,0.0,0,0.0,,0,0,,21.5,57.0,1010.5,65.8,9.8,236.2,20.4,10,,2019-03-08T07:12:36,2019-03-08T19:18:23,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-09,33.6,26.7,29.6,40.0,26.7,34.1,24.0,72.6,0.0,0,0.0,,0,0,31.7,21.3,60.8,1010.8,63.7,10.1,184.2,15.9,8,,2019-03-09T07:12:19,2019-03-09T19:18:11,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-10,34.0,27.1,29.6,39.0,30.5,34.0,23.7,71.6,4.35,100,4.17,rain,0,0,,18.4,92.7,1011.2,66.3,10.2,224.0,19.3,10,,2019-03-10T07:12:02,2019-03-10T19:17:57,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-11,32.6,23.5,27.8,39.1,23.5,31.1,24.0,80.5,25.868,100,8.33,rain,0,0,55.4,25.2,39.5,1011.4,62.2,9.2,155.7,13.3,8,,2019-03-11T07:11:44,2019-03-11T19:17:44,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-12,34.3,25.0,28.9,40.0,25.0,31.7,23.6,74.7,1.042,100,8.33,rain,0,0,,13.2,350.3,1011.3,61.4,9.9,226.6,19.7,9,,2019-03-12T07:11:27,2019-03-12T19:17:30,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-13,34.5,26.6,29.7,42.1,26.6,34.4,24.4,74.2,0.0,0,0.0,,0,0,,23.2,43.3,1011.2,60.1,10.1,273.3,23.6,10,,2019-03-13T07:11:08,2019-03-13T19:17:16,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-14,33.6,26.5,29.4,38.0,26.5,32.5,23.0,70.0,0.0,0,0.0,,0,0,,22.0,40.0,1012.0,61.8,10.2,246.5,21.3,9,,2019-03-14T07:10:50,2019-03-14T19:17:02,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,WSAP,48679099999,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-15,34.2,26.2,29.4,37.8,26.2,31.7,22.1,66.5,0.0,0,0.0,,0,0,,25.0,37.6,1012.0,66.4,10.1,283.3,24.4,10,,2019-03-15T07:10:31,2019-03-15T19:16:47,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-16,33.6,26.1,29.3,39.4,26.1,32.7,23.2,70.3,0.0,0,0.0,,0,0,,23.4,34.9,1011.8,61.6,10.1,223.7,19.2,10,,2019-03-16T07:10:12,2019-03-16T19:16:32,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-17,33.5,26.5,29.4,37.9,26.5,32.3,22.5,67.6,0.0,0,0.0,,0,0,,21.5,35.3,1011.6,65.9,10.1,271.3,23.2,10,,2019-03-17T07:09:53,2019-03-17T19:16:17,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-18,34.5,25.5,29.2,36.6,25.5,30.5,21.0,63.8,0.0,0,0.0,,0,0,,20.6,43.3,1010.8,67.3,9.9,285.0,24.6,10,,2019-03-18T07:09:34,2019-03-18T19:16:02,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-19,34.5,26.0,29.4,38.5,26.0,32.2,22.5,67.2,0.0,0,0.0,,0,0,,22.2,49.4,1010.0,64.9,10.1,244.7,21.1,10,,2019-03-19T07:09:14,2019-03-19T19:15:47,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-03-20,33.1,26.7,29.7,37.5,26.7,33.6,23.3,69.3,0.0,0,0.0,,0,0,,20.5,40.4,1009.5,62.1,10.0,192.9,16.8,8,,2019-03-20T07:08:54,2019-03-20T19:15:31,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
