datetime,No. case,temp,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,solarenergy
2014-01-05,436.0,26.9,85.7,2.9878,5.8340000000000005,19.66,88.78,1010.4200000000001,13.479999999999999
2014-01-12,479.0,26.785714285714285,85.8,7.105571428571429,5.954285714285715,19.37142857142857,68.12857142857142,1010.0571428571428,10.700000000000001
2014-01-19,401.0,26.52857142857143,76.85714285714286,0.0,0.0,26.37142857142857,27.814285714285713,1012.5857142857143,20.485714285714288
2014-01-26,336.0,25.928571428571427,74.7,0.0,0.0,25.728571428571428,27.900000000000002,1012.342857142857,19.642857142857142
2014-02-02,234.0,26.25714285714286,72.94285714285715,0.0,0.0,21.657142857142855,32.44285714285714,1011.4857142857143,23.585714285714285
2014-02-09,273.0,26.814285714285713,75.7,0.024857142857142855,0.5957142857142858,14.728571428571428,36.628571428571426,1007.4142857142857,22.47142857142857
2014-02-16,369.0,27.87142857142857,76.3,0.0,0.0,24.442857142857143,36.542857142857144,1009.5142857142857,19.5
2014-02-23,193.0,27.785714285714285,74.08571428571429,0.0,0.0,26.2,39.728571428571435,1012.0,21.400000000000002
2014-03-02,186.0,27.585714285714285,72.12857142857142,0.0,0.0,26.52857142857143,39.94285714285714,1011.5,23.3
2014-03-09,209.0,27.857142857142858,71.75714285714285,0.0,0.0,23.185714285714287,42.18571428571429,1011.3571428571429,24.842857142857145
2014-03-16,224.0,28.071428571428573,74.87142857142858,6.474142857142858,2.3814285714285717,22.785714285714285,41.41428571428571,1011.0428571428572,23.014285714285712
2014-03-23,210.0,27.542857142857144,81.07142857142857,1.5627142857142857,3.5714285714285716,18.485714285714288,31.157142857142855,1010.1714285714286,18.542857142857144
2014-03-30,225.0,28.771428571428572,76.87142857142858,0.05442857142857143,1.1914285714285715,19.5,52.371428571428574,1009.0428571428572,21.52857142857143
2014-04-06,240.0,28.728571428571428,78.17142857142858,2.8322857142857143,2.3814285714285717,15.742857142857144,104.64285714285714,1009.1857142857143,17.47142857142857
2014-04-13,244.0,28.24285714285714,78.31428571428572,3.4684285714285714,5.951428571428571,11.442857142857141,73.48571428571428,1010.2857142857143,15.028571428571428
2014-04-20,235.0,28.585714285714285,79.17142857142858,3.671285714285714,2.3814285714285717,14.757142857142856,99.8,1009.342857142857,15.214285714285714
2014-04-27,282.0,28.557142857142857,80.34285714285714,0.893,2.3814285714285717,15.942857142857141,98.82857142857142,1009.1428571428571,15.957142857142856
2014-05-04,251.0,29.25714285714286,77.98571428571428,2.422285714285714,4.762857142857143,14.557142857142859,175.25714285714284,1009.1428571428571,14.799999999999999
2014-05-11,261.0,29.214285714285715,78.91428571428571,3.8695714285714287,3.5728571428571425,15.271428571428572,116.77142857142857,1008.9571428571428,18.87142857142857
2014-05-18,291.0,28.842857142857145,78.42857142857143,6.995142857142857,4.168571428571428,17.84285714285714,231.95714285714286,1008.9571428571428,10.828571428571427
2014-05-25,427.0,28.271428571428572,81.60000000000001,1.8822857142857143,4.761428571428572,16.814285714285713,197.15714285714284,1009.3714285714286,13.714285714285714
2014-06-01,456.0,28.885714285714283,79.24285714285715,4.864428571428571,5.357142857142857,17.271428571428572,167.22857142857143,1008.5571428571428,16.442857142857143
2014-06-08,458.0,28.614285714285717,82.15714285714286,2.597857142857143,7.142857142857143,17.571428571428573,172.34285714285716,1006.6142857142858,14.200000000000001
2014-06-15,506.0,29.642857142857142,77.38571428571429,3.0901428571428573,4.167142857142857,18.74285714285714,184.9857142857143,1006.7428571428571,14.414285714285715
2014-06-22,550.0,30.400000000000002,72.38571428571429,0.7194285714285714,1.7857142857142858,17.257142857142856,195.87142857142857,1009.157142857143,13.12857142857143
2014-06-29,671.0,29.37142857142857,74.5,0.124,0.5957142857142858,17.62857142857143,211.22857142857143,1009.6285714285714,11.028571428571428
2014-07-06,888.0,28.52857142857143,79.95714285714287,3.0509999999999997,4.761428571428572,17.657142857142855,198.4857142857143,1009.1428571428571,10.857142857142858
2014-07-13,818.0,28.5,79.24285714285715,6.910285714285714,6.547142857142857,16.957142857142856,214.28571428571428,1008.657142857143,13.37142857142857
2014-07-20,744.0,29.52857142857143,76.14285714285714,1.0665714285714285,1.1914285714285715,17.2,176.15714285714284,1009.2714285714285,11.842857142857143
2014-07-27,633.0,29.785714285714285,73.65714285714286,3.472714285714286,0.5957142857142858,20.742857142857144,170.14285714285714,1009.8857142857142,12.585714285714285
2014-08-03,484.0,28.571428571428573,79.25714285714285,5.754714285714286,3.5714285714285716,21.442857142857143,187.6142857142857,1009.5428571428572,12.171428571428573
2014-08-10,545.0,28.2,77.72857142857143,2.529857142857143,4.762857142857143,20.24285714285714,198.91428571428574,1010.157142857143,12.814285714285715
2014-08-17,438.0,27.428571428571427,80.41428571428571,5.606,4.1657142857142855,16.742857142857144,210.08571428571426,1010.6428571428571,15.214285714285714
2014-08-24,418.0,28.32857142857143,78.65714285714286,3.1332857142857145,4.167142857142857,16.87142857142857,194.67142857142858,1010.0571428571428,15.328571428571427
2014-08-31,367.0,27.271428571428572,81.48571428571428,17.239714285714285,6.545714285714285,15.6,226.31428571428572,1009.6714285714286,15.071428571428571
2014-09-07,339.0,28.442857142857143,75.24285714285715,1.2155714285714285,1.7857142857142858,14.914285714285715,216.62857142857143,1010.0142857142857,14.314285714285715
2014-09-14,362.0,28.814285714285713,75.81428571428572,0.6201428571428572,1.7871428571428571,19.2,205.5142857142857,1010.4285714285714,14.585714285714285
2014-09-21,396.0,29.071428571428573,73.84285714285714,3.8957142857142855,1.19,19.3,194.57142857142858,1009.5285714285714,15.828571428571427
