videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parent_id,comment_id
HA1_r3dNk_Q,Best to go dressed in a spacesuit since Covid is now running rampant around China. Zero Covid policy was a distaste and the current policy seems to be let everyone get it.,Best to go dressed in a spacesuit since Covid is now running rampant around China. Zero Covid policy was a distaste and the current policy seems to be let everyone get it.,Joe R M,https://yt3.ggpht.com/ytc/AGIKgqPUfmlVDPBiTkvQYsTuvpMe8BH0NgW4jEMIzlRGrA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCZpcSmoIa0fTNB_R3dmguNg,{'value': 'UCZpcSmoIa0fTNB_R3dmguNg'},True,none,0,2023-01-09T11:12:56Z,2023-01-09T11:12:56Z,,Ugx8Medw1gCa_6EhzE54AaABAg
HA1_r3dNk_Q,The country whose sense of value is totally different from ours; it is China.,The country whose sense of value is totally different from ours; it is China.,サスカッチ,https://yt3.ggpht.com/ytc/AGIKgqN3H_XrQhPn9l6Bd-dPZfs4LtTvTGSt3vYR_vv0wpdc-gKdDSuWevQmaHthIwzwVgQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCTzXRhz23AoewBMYIalzhPA,{'value': 'UCTzXRhz23AoewBMYIalzhPA'},True,none,0,2023-01-09T11:12:00Z,2023-01-09T11:12:00Z,,UgxY7Cn_sxXxbT7LNq94AaABAg
HA1_r3dNk_Q,good news for funeral homes too,good news for funeral homes too,D Car,https://yt3.ggpht.com/ytc/AGIKgqOEEfyNASNZAx9zS0wd8BTeGnxIMjwnY2d8_Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC_vHVGj2_U8pcJ_nkONNm2Q,{'value': 'UC_vHVGj2_U8pcJ_nkONNm2Q'},True,none,0,2023-01-11T12:32:23Z,2023-01-11T12:32:23Z,,Ugzim9hgNctid2xb4yl4AaABAg.9keoLQwa92I9kk6Ftzv8mK
HA1_r3dNk_Q,China :&quot;Now it&#39;s time to spread corona!! &quot;,"China :""Now it's time to spread corona!! """,Himalayan guruji's vlogs,https://yt3.ggpht.com/bvi2aFs-dvhJcNg36ceoF8gt2I9WPxRc5_gBD-haf-zNMVCg-BBC4mRin5XlPpG9MsFmlMsF9Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCqMOsIxewTpd4hYV4Srfq1w,{'value': 'UCqMOsIxewTpd4hYV4Srfq1w'},True,none,0,2023-01-09T11:09:22Z,2023-01-09T11:09:22Z,,UgyHBCO77XQfYwjZs7Z4AaABAg
HA1_r3dNk_Q,Good China don&#39;t want you.,Good China don't want you.,Yume,https://yt3.ggpht.com/ytc/AGIKgqMkRhXdqUC_0biNU2b48s5Ejrbi4RfUtWGtIt4-KUAA_QOYThInT1wdES_Hj6iB=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCQoqRGsXADnpIjkohXCTGPQ,{'value': 'UCQoqRGsXADnpIjkohXCTGPQ'},True,none,1,2023-01-11T04:01:12Z,2023-01-11T04:01:12Z,,Ugx28XrDsxxQ2uBGHuZ4AaABAg.9kenvfJE-Ef9kjBkxS1EXV
HA1_r3dNk_Q,"This is not for travel, but for the family reunion!","This is not for travel, but for the family reunion!",melody xie,https://yt3.ggpht.com/ytc/AGIKgqMukX4HvSeDlnbrcPUMfKcprdFlTrNE1ik8gA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC3Wrm7q_xkP8n6yTnkzPa3g,{'value': 'UC3Wrm7q_xkP8n6yTnkzPa3g'},True,none,0,2023-01-10T02:03:40Z,2023-01-10T02:03:40Z,,Ugx28XrDsxxQ2uBGHuZ4AaABAg.9kenvfJE-Ef9kgPWCDu814
HA1_r3dNk_Q,did you come here to ask for lard?,did you come here to ask for lard?,jullls1,https://yt3.ggpht.com/ytc/AGIKgqMqXcP_C2pB8EmQvu_yi_Zg1hMpfIyh5KhUrw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC68g3mX8C79exHI44sLsGuw,{'value': 'UC68g3mX8C79exHI44sLsGuw'},True,none,0,2023-01-09T20:31:02Z,2023-01-09T20:31:02Z,,Ugx28XrDsxxQ2uBGHuZ4AaABAg.9kenvfJE-Ef9kfoRxu7C7T
HA1_r3dNk_Q,"@Roman nice to know, dont want my organs to be harvested or thrown into a concentration camp by the ccp","@Roman nice to know, dont want my organs to be harvested or thrown into a concentration camp by the ccp",adlata,https://yt3.ggpht.com/8nUy89JlZh_EzEK38EZmZh_bSSlm-TF-QiWgbQn7dM1j5f8AUYYfdzYNESh4lDyORAQ6eTXP=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCzSWwsMY-69WyU8JzsTOu4g,{'value': 'UCzSWwsMY-69WyU8JzsTOu4g'},True,none,1,2023-01-09T16:49:47Z,2023-01-09T16:49:47Z,,Ugx28XrDsxxQ2uBGHuZ4AaABAg.9kenvfJE-Ef9kfQ7Tnkjx_
HA1_r3dNk_Q,Good to know also No one cares,Good to know also No one cares,Roman,https://yt3.ggpht.com/ytc/AGIKgqPBQwJYsagbY9TglmeyUcK1FxwlvzJwHpqk3P1T=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCHm9qtItM3BuADNvEcWtaLg,{'value': 'UCHm9qtItM3BuADNvEcWtaLg'},True,none,6,2023-01-09T15:22:17Z,2023-01-09T15:22:17Z,,Ugx28XrDsxxQ2uBGHuZ4AaABAg.9kenvfJE-Ef9kfG6ZFQ81N
HA1_r3dNk_Q,no thanks,no thanks,Mac Mac,https://yt3.ggpht.com/ytc/AGIKgqM6mtDvR1fdn0B3s7r_3sL3EgjF4gLCw-rl7rh_AA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCGgG19s_hQp9d086ByGLJBQ,{'value': 'UCGgG19s_hQp9d086ByGLJBQ'},True,none,2,2023-01-09T11:05:07Z,2023-01-09T11:05:07Z,,UgwSGNVQHeONpAZiBkZ4AaABAg
