videoId,textDisplay,textOriginal,parentId,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,comment_id
1WEAJ-DFkHE,Chander needs the best screen time,Chander needs the best screen time,,Cube World,https://yt3.ggpht.com/0u10DKzl3eXP-r7_A4381ziri48o9Xd_Bxy9OLn87lt1Ucl8UwxnGdwwjIqjCtvMPb5xa4WgQt8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC_vVPmSXBZ3TX-Wm4_ngppw,{'value': 'UC_vVPmSXBZ3TX-Wm4_ngppw'},True,none,1,2023-04-27T07:55:40Z,2023-04-27T07:55:40Z,UgypvftKV3zjIPhGiPR4AaABAg
1WEAJ-DFkHE,Amazing beast 🎉,Amazing beast 🎉,,Street Food Vlogs,https://yt3.ggpht.com/FzrCF5NXhP63O2SqYAqQJfaKL4-jJlV1HoLOiyvvHVzhMOuEuxY461R6muWh0dv8CmMovGGV=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuoRZMN4NMlfIQ-N0tbHuHg,{'value': 'UCuoRZMN4NMlfIQ-N0tbHuHg'},True,none,0,2023-04-27T07:54:41Z,2023-04-27T07:54:41Z,UgwkHPhDr2u3wH5gok14AaABAg
1WEAJ-DFkHE,Mister bes kasih aku aiphon aku sdh paket lengkap,Mister bes kasih aku aiphon aku sdh paket lengkap,,Selvi Wahyu Agustin,https://yt3.ggpht.com/ytc/AGIKgqPof4zDQUgNi1msYa3QmtB46GAGD86V02welBP1hw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCBgdwT_w1E0MEf2XUaGDePg,{'value': 'UCBgdwT_w1E0MEf2XUaGDePg'},True,none,0,2023-04-27T07:51:28Z,2023-04-27T07:51:28Z,UgzWG-MeVSBMnGlgFS94AaABAg
1WEAJ-DFkHE,مستر بيست هل أنت تدعم ألألوان؟,مستر بيست هل أنت تدعم ألألوان؟,,kim Roza,https://yt3.ggpht.com/k1lU5X46bpwjlUqZ4tiYXTIWdIDGLTpY6lCK6yna9U3LrOGm1nDgXI6B4-3MRg436Y3BOWyU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuGWQ6CfuPRO-sispiWv55Q,{'value': 'UCuGWQ6CfuPRO-sispiWv55Q'},True,none,1,2023-04-27T07:50:28Z,2023-04-27T07:50:28Z,UgzTt8yRfxD_PRLstxx4AaABAg
1WEAJ-DFkHE,Take me Mr beast!,Take me Mr beast!,,segaris mata,https://yt3.ggpht.com/ZYZNkukHVCAOHQFHyvTJE6-3gHET0_nCr-YGXiA2uuPmFQRPEYrZWlIckOKh2Vnseopjkcv7wA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCoQLiNTUG9kl7HwYiLUsLfA,{'value': 'UCoQLiNTUG9kl7HwYiLUsLfA'},True,none,0,2023-04-27T07:47:56Z,2023-04-27T07:47:56Z,Ugx39h8NZy77VicOHFF4AaABAg
1WEAJ-DFkHE,Christiana is one messed up GUY,Christiana is one messed up GUY,,Parker May,https://yt3.ggpht.com/ytc/AGIKgqPnstohAqSTnO_lZl3fhBxnNv5eGZDiJ7IG_tAvhSp1w0Ifn6-aa7Py2xhrslms=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCm0Akske3ocr9i_r0LHYOQQ,{'value': 'UCm0Akske3ocr9i_r0LHYOQQ'},True,none,0,2023-04-27T07:45:56Z,2023-04-27T07:45:56Z,Ugzl3YgBn9tzs09UaTV4AaABAg
1WEAJ-DFkHE,"<a href=""https://www.youtube.com/watch?v=1WEAJ-DFkHE&amp;t=5m19s"">5:19</a>",5:19,,BAPE KENTR,https://yt3.ggpht.com/dtU8k4bDBgixEn4SyoQsCPAl84iuKf35wcbfqSZLzwmbHe4LlbrSbqubnaEqAbzF8WdLzzqoPA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCBk_9UDIsgwGZnGCljP0pzg,{'value': 'UCBk_9UDIsgwGZnGCljP0pzg'},True,none,1,2023-04-27T07:45:33Z,2023-04-27T07:45:33Z,Ugz4_MU5_qNER_sTprh4AaABAg
1WEAJ-DFkHE,Mr beast 2 day 🌋,Mr beast 2 day 🌋,,david,https://yt3.ggpht.com/ytc/AGIKgqPD12Vo14fhLbgf9cehDfAmSkoeYM1XYE4vDoee7EjHYmYF_eFfpeLYiLhGnf9I=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeqMXnCc3Mc-gtPnuzXoNfQ,{'value': 'UCeqMXnCc3Mc-gtPnuzXoNfQ'},True,none,0,2023-04-27T07:44:05Z,2023-04-27T07:44:05Z,UgyjS1h_5n_uEP7SG694AaABAg
1WEAJ-DFkHE,Hai mr.beast aku dari indonesia salam kenal ya.....aku mau dong hadiah dari kamu 🤩🤩🤩🤩,Hai mr.beast aku dari indonesia salam kenal ya.....aku mau dong hadiah dari kamu 🤩🤩🤩🤩,,Achmadd Bayhaqi,https://yt3.ggpht.com/ytc/AGIKgqPL1HdiyFTm86CxK9VKnGk3aXwj31oWViOJyp4_Sc1-zEgv-NZRUNA48LOtndZK=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCj9mEq28UVwGgtwlQtX4Guw,{'value': 'UCj9mEq28UVwGgtwlQtX4Guw'},True,none,0,2023-04-27T07:40:36Z,2023-04-27T07:40:36Z,UgzUSbX-q7DTog6eShZ4AaABAg
1WEAJ-DFkHE,cool😁,cool😁,,gorilla dude,https://yt3.ggpht.com/3qo4qeWaznlxrm_WmJLsaRBrx7_Sv7YIa2pGDznzNwtDEpYuka457Q-Liry8SBmLL70iJY6V-gw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UClyFm1o92ZVzoJln2i63uLA,{'value': 'UClyFm1o92ZVzoJln2i63uLA'},True,none,0,2023-04-27T07:39:23Z,2023-04-27T07:39:23Z,UgzkHoOXvKSWt5_Asul4AaABAg
1WEAJ-DFkHE,Me regalas 20.000 dólares para comprarme una casa 😊,Me regalas 20.000 dólares para comprarme una casa 😊,,Caro Vane,https://yt3.ggpht.com/ytc/AGIKgqNuQiG7P-xzCfoBtj47-2k6D8YJn3d2HeiJZjhfmrNwbFPfNx0_z3H7xEij25DB=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCgT1cvar4Qjh8lqE5-ZBiNg,{'value': 'UCgT1cvar4Qjh8lqE5-ZBiNg'},True,none,0,2023-04-27T07:29:44Z,2023-04-27T07:29:44Z,UgwXQTyNfPuIHTxjP4d4AaABAg
1WEAJ-DFkHE,Go away BTS,Go away BTS,UgyKagAf7_Jk2XFo2AZ4AaABAg,Uzmaki Naruto,https://yt3.ggpht.com/ytc/AGIKgqNh0hfBYnbEZABwxgTdxwVz5bIJ-DMLz3saertX=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCnC6Ak59lUZkQ2ErneMutgg,{'value': 'UCnC6Ak59lUZkQ2ErneMutgg'},True,none,0,2023-04-27T07:48:54Z,2023-04-27T07:48:54Z,UgyKagAf7_Jk2XFo2AZ4AaABAg.9p-VbZJa_u09p-Y4Ok55KE
1WEAJ-DFkHE,곧있으면 150000000명이다,곧있으면 150000000명이다,,승민 김,https://yt3.ggpht.com/ytc/AGIKgqMcqhx0kknzbc9-ZDou7mXufRcrST1bGPSmu6CuxJ0S8w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCnZkHt4flsj2nz7qiN75WoQ,{'value': 'UCnZkHt4flsj2nz7qiN75WoQ'},True,none,0,2023-04-27T07:24:08Z,2023-04-27T07:24:08Z,UgwqG9WWPm8w_pvs2_t4AaABAg
