Variable:,pr
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
1920,608.08,1091.33,240.64,1274.41,1928.03,304.00,2125.90,1899.80,1434.30,1737.50,317.05,495.01,604.44,1110.98,1757.78,893.52,1858.74,485.81,575.23,270.93,308.69,304.55,652.69,481.93,1142.89,383.66,919.43,313.44,117.63,274.53,1171.67,1664.28
1921,593.39,1332.22,378.22,1453.23,1564.47,302.72,1678.24,1581.98,1307.62,1452.94,436.76,412.92,798.35,1189.07,1253.89,1160.58,1500.88,552.54,665.85,261.42,308.38,304.55,640.85,710.99,1235.67,396.52,976.85,467.65,122.09,292.03,1314.33,1563.29
1922,582.46,865.91,545.92,1281.09,1918.86,297.67,1808.71,1624.55,1307.68,1867.63,523.71,513.30,483.03,879.60,1207.30,864.94,1496.21,662.41,784.31,310.18,304.27,304.55,589.03,574.47,1084.54,444.85,924.53,579.30,100.70,283.88,1245.12,1560.29
1923,585.08,1113.29,458.67,1065.61,1386.17,304.59,1799.44,1906.25,1273.13,1940.06,487.36,527.30,670.34,1052.37,1360.53,949.90,1499.48,708.86,931.47,278.49,310.70,304.55,646.33,621.44,1046.99,439.01,827.81,545.45,105.94,284.60,1102.91,1410.43
1924,587.56,1015.66,583.33,1158.98,2030.49,295.36,1839.13,1524.66,1206.96,1763.55,553.31,434.48,695.03,1107.18,1380.00,791.73,1745.02,472.97,599.57,289.55,306.83,304.26,611.63,605.35,1019.69,433.61,859.79,652.50,106.40,291.74,1305.07,1689.60
1925,565.81,873.17,623.56,1207.32,1506.78,320.39,1624.19,1412.95,1187.63,1487.39,603.48,450.45,678.94,943.79,1268.57,856.08,1421.29,566.48,608.61,268.52,331.31,304.48,781.03,642.76,1045.09,554.10,908.16,695.07,98.76,287.47,1290.37,1426.12
1926,603.65,1081.06,387.31,1174.72,1499.05,308.13,1986.49,1915.99,1353.06,2233.07,431.04,486.50,761.17,1059.98,1484.00,1030.63,1564.26,575.78,655.19,258.50,317.34,304.43,694.54,779.41,1233.55,461.30,881.40,474.34,115.27,281.92,1246.56,1614.82
1927,583.32,967.51,372.69,1247.86,1702.03,309.27,2087.54,1607.00,1198.27,1707.36,405.05,532.02,708.88,1070.92,1331.00,853.30,1527.90,673.53,633.43,260.07,314.62,304.47,729.86,468.19,1100.16,459.99,852.11,430.38,115.45,290.91,1217.72,1443.78
1928,572.33,906.50,504.78,1171.22,1743.82,298.58,1601.73,1316.66,1159.69,1806.65,534.58,635.39,664.54,873.99,1075.65,813.30,1352.61,702.29,680.40,289.54,308.70,304.25,656.33,630.58,1054.39,531.68,885.22,603.24,128.49,288.16,1261.27,1540.79
1929,567.04,875.15,536.02,1249.17,1393.36,299.80,1478.27,1410.96,1285.75,1141.63,529.28,595.21,676.38,1249.97,1401.98,675.58,1403.26,635.97,732.40,331.05,308.67,304.39,626.30,505.81,857.64,351.05,812.00,646.04,109.84,282.86,1213.52,1286.87
1930,585.18,1226.65,449.91,1071.66,1581.34,298.44,1747.80,1545.21,1195.79,1629.19,494.13,555.23,667.77,1166.37,1451.49,1069.93,1698.48,643.89,689.18,274.46,308.69,304.29,655.21,619.93,1254.92,461.11,766.55,537.74,122.65,285.93,1131.14,1617.49
1931,620.44,1438.64,456.10,1214.94,2011.38,299.52,1915.11,1444.51,1232.00,1424.21,483.09,585.04,891.09,1393.57,1631.89,1261.47,1865.55,670.43,672.67,296.64,306.88,304.43,677.83,698.96,1386.47,495.30,854.68,536.09,110.58,286.69,1013.39,1856.33
1932,595.89,877.60,415.33,1278.78,1744.41,274.77,1804.56,1510.92,1365.88,1155.06,470.90,659.41,603.29,1016.79,1396.97,736.26,1546.22,684.48,674.61,318.72,292.28,305.27,534.44,529.32,1089.63,608.52,971.45,460.93,107.28,286.64,1244.95,1769.47
1933,576.07,1120.46,502.28,1235.58,1442.84,283.62,1390.49,1350.91,1263.75,1368.28,533.80,491.88,726.96,1270.78,1446.05,919.80,1567.32,612.47,724.45,308.38,311.65,297.76,670.11,607.51,1262.99,627.26,837.24,525.61,102.94,284.32,1122.02,1781.18
1934,607.09,1000.11,581.74,1286.57,1561.15,330.88,1751.73,1612.09,1358.33,1553.01,595.87,593.45,734.98,1141.90,1355.37,900.77,1427.15,697.93,751.45,346.16,335.69,316.29,659.15,774.36,960.07,578.49,905.78,631.55,122.00,283.50,1155.42,1383.81
1935,595.78,965.78,319.23,1188.40,1870.01,264.80,1962.78,1803.67,1301.69,1402.62,376.43,549.94,746.52,1158.43,1858.02,792.49,1893.21,648.94,624.65,255.70,306.72,283.96,718.07,577.80,1019.18,495.90,842.25,373.89,108.52,275.26,1003.71,1626.90
1936,551.12,947.25,324.46,968.73,1651.22,286.18,1655.85,1541.02,1016.88,1093.99,353.12,614.81,447.71,965.86,1474.81,800.60,1740.99,703.21,747.27,274.95,270.80,297.03,543.01,505.22,958.11,344.66,823.41,372.73,110.14,300.68,932.45,1461.05
1937,629.26,1288.40,568.31,1325.65,2007.34,322.38,1768.77,1474.96,1066.30,1473.52,636.00,549.30,929.00,1523.74,1691.29,1021.71,1949.47,612.64,792.37,302.76,337.62,304.19,793.17,792.20,1241.82,682.18,926.91,688.94,116.01,268.05,945.50,1892.72
1938,607.12,1254.39,594.95,1292.25,1669.81,298.25,1496.74,1292.42,1103.37,1616.21,616.10,618.85,956.60,1347.59,1269.17,1000.15,1608.42,671.00,848.47,324.97,301.05,293.34,787.93,683.63,1006.08,566.83,937.22,668.79,111.30,303.79,1205.67,1357.35
1939,574.41,1208.39,516.43,943.26,1740.29,253.42,1722.34,1458.19,1096.68,1553.58,536.72,528.80,859.51,1232.67,1346.92,969.85,1711.11,659.46,763.66,313.82,248.33,294.55,554.41,549.83,1081.99,577.26,739.15,531.16,101.51,275.67,1078.31,1517.23
1940,575.34,1115.09,400.64,1104.07,1763.27,309.77,1982.30,1544.68,1101.62,1666.12,435.36,561.13,673.14,962.08,1334.86,879.61,1603.79,588.13,658.17,288.34,347.30,279.69,724.35,562.36,944.54,578.74,820.37,445.49,113.18,279.86,1087.26,1424.77
1941,592.15,1155.13,363.92,1189.77,1951.47,230.14,2189.33,1725.66,1184.33,1386.65,374.34,550.99,626.15,1027.83,1484.80,1008.65,1784.53,630.72,633.11,293.77,210.02,270.38,453.68,466.32,1364.89,338.01,870.24,385.93,118.41,262.08,1253.27,1815.47
1942,574.95,1130.54,450.05,948.55,1667.55,287.85,1820.70,1594.07,1092.51,1526.68,494.26,540.22,646.58,1047.60,1410.31,856.87,1784.87,593.39,734.76,292.65,276.99,303.88,530.37,515.38,1056.75,607.39,742.04,480.12,138.04,270.93,1088.90,1531.46
1943,571.17,1154.26,383.05,1130.99,1494.33,330.97,1704.93,1440.21,1134.88,1558.42,432.77,583.71,856.96,1274.55,1473.74,941.40,1514.89,602.80,604.59,296.09,352.08,318.33,693.90,564.92,1122.10,506.60,753.97,434.37,95.36,281.75,1006.96,1467.98
1944,590.37,957.91,451.48,1198.19,1781.46,321.87,1945.32,1649.87,1335.96,1586.17,481.98,460.21,651.14,1116.26,1602.19,824.32,1815.55,506.59,606.47,276.60,332.72,319.46,659.09,546.59,991.09,612.91,882.71,511.74,89.35,259.38,1216.54,1570.91
1945,572.81,1083.80,438.80,1007.22,1682.45,275.91,1732.47,1462.95,970.10,1661.19,485.56,522.21,652.32,989.60,1242.39,1073.43,1541.10,609.15,710.90,303.79,331.72,270.32,639.66,652.69,1405.55,552.53,894.90,508.56,97.63,297.24,1186.35,1716.71
1946,610.94,1316.58,512.10,1145.54,1624.04,303.90,1742.80,1651.56,1247.24,1643.42,536.40,641.04,843.19,1222.37,1421.98,1085.14,1761.44,625.66,679.01,286.39,287.25,297.50,684.33,675.85,1347.35,529.76,867.78,584.63,122.84,274.09,1121.17,1873.55
1947,614.68,990.73,512.89,1222.00,1962.27,352.67,2009.95,1737.61,1173.02,1901.43,529.13,563.68,709.55,1039.91,1273.77,904.06,1661.73,704.09,866.66,318.71,358.00,301.84,723.23,688.15,1077.94,522.43,987.67,567.52,116.99,282.91,1069.43,1643.34
1948,625.94,1248.33,489.86,1334.86,1506.85,328.20,1743.72,1661.16,1260.82,1071.90,520.47,597.08,820.64,1299.63,1605.89,1028.67,1749.06,623.49,718.82,315.76,309.44,312.79,688.03,702.83,1210.01,546.14,1000.44,553.50,93.01,302.63,1242.62,1694.68
1949,641.65,1354.28,720.95,1163.94,1855.17,358.25,1710.85,1686.85,1237.53,1218.82,714.21,513.02,871.93,1161.77,1511.35,1133.53,1858.11,621.54,876.02,328.76,389.69,312.97,813.05,729.74,1288.29,648.06,997.06,785.73,120.78,290.95,1101.93,1987.37
1950,599.74,1212.24,616.97,1276.69,1976.57,287.88,1919.06,1611.35,1259.79,1987.84,619.35,447.79,785.40,1183.67,1365.43,1128.28,1679.23,586.60,768.84,268.12,284.75,303.75,624.69,752.43,1287.48,488.47,832.99,693.82,103.72,285.40,1101.35,1818.13
1951,614.06,1211.33,375.45,1120.96,1694.08,310.84,1978.64,1696.60,1161.13,2010.53,457.94,643.74,759.55,1143.37,1445.64,1039.54,1730.12,687.88,815.19,289.51,307.87,309.13,660.66,728.00,1234.24,543.18,889.91,441.19,109.63,299.34,1105.18,1620.69
1952,628.88,1211.74,433.25,1393.78,1878.66,317.31,1965.06,1668.44,1279.34,1701.15,464.57,539.04,807.26,1306.52,1604.64,1029.03,1798.08,542.14,536.81,294.13,305.81,309.49,754.77,646.54,1237.83,532.42,969.02,481.72,115.51,306.79,1189.95,1827.36
1953,613.37,1065.56,563.86,1068.37,1854.99,282.25,2064.29,1607.88,1126.62,2244.18,607.66,565.96,670.57,1092.86,1663.83,892.70,2000.04,700.46,933.33,310.86,300.86,291.07,626.85,754.22,1126.83,564.23,855.41,670.48,110.28,260.16,1076.83,1648.68
1954,678.82,1706.47,721.66,1470.08,1660.74,319.24,1581.50,1480.38,1520.37,1667.42,732.53,479.64,1051.64,1673.66,1723.92,1263.86,2080.11,715.88,866.44,338.28,307.44,312.89,761.22,733.40,1481.24,691.42,1063.18,837.75,131.31,310.60,1145.42,1994.98
1955,582.81,1073.37,615.24,1104.87,1505.03,306.42,1730.91,1408.13,1145.21,1465.40,591.88,634.93,736.34,1036.75,1397.17,861.10,1639.81,606.50,672.30,306.97,323.54,302.01,611.80,627.78,1035.12,514.27,880.92,662.13,96.94,288.14,1192.04,1443.54
1956,611.12,1415.71,681.01,1266.51,1668.44,266.51,1409.27,1370.93,1114.07,1625.25,714.76,632.31,957.18,1241.82,1346.35,1295.98,1592.86,786.18,842.58,333.27,317.57,229.63,764.96,809.26,1326.69,744.52,943.23,767.08,103.07,268.86,1101.95,1686.56
1957,595.09,1219.93,474.43,1141.18,1540.62,247.74,2069.39,1527.26,1233.35,1672.07,467.55,633.58,733.49,1102.03,1477.68,1085.73,1706.83,728.46,748.97,307.13,228.93,283.18,560.00,643.02,1282.53,463.02,869.46,419.98,96.43,263.66,1152.43,1579.52
1958,587.93,1080.36,516.46,1134.39,1575.25,337.01,1487.24,1307.12,1076.51,1701.72,555.58,518.90,912.91,1231.03,1412.52,1016.31,1480.53,494.46,545.92,345.95,342.75,312.18,842.84,702.20,1113.62,699.01,881.98,485.82,148.80,254.06,1038.06,1577.69
1959,644.81,1176.58,725.79,1018.93,1967.01,304.75,2181.60,1818.94,1210.88,1497.74,691.62,668.57,663.44,1121.29,1487.25,1025.46,1738.87,690.74,888.29,391.78,359.70,286.50,616.02,712.19,1266.89,653.02,846.08,723.81,131.26,261.56,1246.16,1768.08
1960,589.04,1225.73,437.58,1086.10,1598.77,276.50,1829.50,1396.43,1041.01,1956.09,457.28,673.96,739.72,1152.92,1312.47,1170.44,1541.36,802.18,815.79,319.53,315.35,276.31,623.65,739.72,1225.62,480.67,874.97,480.38,119.50,273.26,977.24,1611.77
1961,640.58,1050.22,524.57,1077.60,2021.14,344.56,2217.62,1771.55,1295.51,1577.40,601.11,560.07,729.80,1062.34,1660.62,1002.10,1899.10,641.22,681.44,331.87,441.54,300.88,779.89,809.36,1197.34,672.85,914.79,628.21,97.98,270.05,1256.33,1725.70
1962,595.15,1227.63,426.95,1204.64,1779.66,255.19,1652.09,1366.26,1107.14,1474.96,498.60,594.05,775.62,1197.59,1555.83,1210.04,1778.02,627.37,766.58,279.58,267.64,267.17,618.72,847.12,1194.32,530.10,876.33,544.74,97.87,324.21,1063.14,1725.10
1963,565.42,1191.85,481.71,1326.30,1313.09,283.94,1159.16,1194.19,1135.64,1784.08,542.47,643.88,913.26,1164.36,1204.68,1066.57,1166.71,655.72,714.92,294.63,250.88,313.80,725.64,792.85,1096.18,604.67,892.75,533.10,92.17,308.29,1086.94,1303.22
1964,637.45,1185.82,703.52,1308.53,1549.93,383.64,1814.79,1405.66,1233.78,1987.12,783.87,526.21,1087.30,1352.70,1450.00,1046.08,1489.10,691.57,989.35,324.92,458.01,320.21,923.46,1141.96,971.56,824.44,901.67,903.02,116.70,267.96,1132.44,1343.67
1965,576.80,1144.40,361.65,1316.79,1580.41,235.86,1872.81,1628.03,1335.13,1675.63,372.02,546.30,686.90,1106.62,1429.67,1109.35,1576.18,585.25,534.13,224.73,220.64,264.01,577.17,639.99,1084.63,327.67,960.09,378.32,96.50,284.48,1257.22,1519.63
1966,560.25,898.71,528.57,955.64,1515.04,297.29,1741.52,1427.40,1003.51,1384.33,526.38,565.26,537.11,827.88,1245.88,776.36,1488.01,680.84,755.36,278.93,274.42,275.61,606.13,565.61,1103.32,589.63,882.78,606.36,130.82,272.80,1252.66,1427.21
1967,593.67,1039.12,574.18,1367.38,1280.24,381.92,1534.05,1575.99,1371.45,1592.99,589.26,491.58,901.82,1293.31,1490.64,835.77,1554.69,538.89,688.48,315.07,406.76,371.48,791.19,667.80,773.15,713.80,879.69,603.86,101.87,239.97,1117.37,1158.87
1968,583.11,976.78,392.62,1346.13,1678.89,307.60,1736.22,1731.85,1341.87,1261.15,417.42,526.39,761.72,1097.24,1454.79,802.43,1591.18,576.03,571.63,266.21,371.00,265.20,742.14,494.76,887.05,517.03,946.18,356.43,93.28,269.56,1290.28,1322.92
