Variable:,pr
,Malaysia,Johor,Kedah,Kelantan,"Kuala Lumpur",Melaka,"Negeri Sembilan",Pahang,Perak,Perlis,"Pulau Pinang",Sabah,Sarawak,Selangor,Terengganu,Labuan
1938,3087.88,2518.10,2460.68,2683.09,2181.20,1954.94,1938.50,2359.78,2607.39,2450.50,2588.67,3048.63,3718.87,2146.34,3031.39,3895.40
1939,2975.43,2685.61,2592.84,2703.82,2322.00,2113.35,2025.54,2469.61,2774.21,2320.34,2893.47,2792.84,3463.10,2275.07,2982.19,3648.70
1940,2674.13,2126.04,2203.60,2703.17,2221.30,1856.87,1843.42,2277.68,2717.19,1908.41,2474.52,2411.35,3107.87,2256.95,2851.65,2967.10
1941,2800.46,2570.38,2500.29,3137.13,2627.90,2152.90,2188.65,2694.75,3053.48,2227.84,2868.52,2355.19,3042.26,2599.82,3473.38,2914.10
1942,3057.38,3115.54,2706.22,3308.13,2816.60,2467.95,2507.52,3046.75,3189.35,2496.04,2945.62,2506.12,3318.71,2757.08,3757.91,3419.10
1943,2773.95,2181.92,2361.94,2535.52,2133.40,1860.64,1845.36,2188.16,2649.50,2227.85,2655.55,2420.68,3417.99,2107.79,2767.33,2938.80
1944,2730.23,2235.20,2483.70,2891.23,2393.60,2012.50,1985.65,2452.27,2884.11,2275.01,2715.88,2398.56,3072.03,2386.77,3109.53,3049.60
1945,3249.66,2737.17,2981.03,3520.51,2690.70,2352.14,2339.52,2877.38,3415.99,2671.81,3225.60,2744.02,3712.08,2663.29,3766.54,3869.00
1946,2910.66,2739.11,2924.58,3829.53,2421.10,2140.17,2111.47,2820.11,3152.36,2697.37,3041.60,2322.35,3079.51,2384.56,4343.25,2808.90
1947,3146.54,2886.66,2787.14,3200.48,2709.60,2392.53,2418.06,2888.80,3234.67,2451.71,3113.56,2617.44,3609.23,2666.76,3453.04,3514.90
1948,2797.85,2936.42,2213.52,2468.23,2375.40,2107.90,2106.28,2454.80,2586.99,1983.10,2391.13,2492.87,3259.66,2248.21,2739.89,3123.60
1949,3177.94,2632.90,2857.12,3238.20,2754.30,2366.49,2348.24,2833.23,3353.00,2719.22,3306.65,2691.59,3673.97,2695.17,3416.32,3828.10
1950,2931.72,2823.79,2521.61,2763.04,2586.10,2315.61,2342.73,2730.68,2785.15,2444.93,2807.31,2527.59,3345.19,2496.08,3261.11,3142.40
1951,3006.09,2757.56,2689.15,3020.04,2878.50,2441.47,2445.75,2972.20,3148.53,2574.68,3010.92,2496.82,3336.65,2806.42,3509.99,3194.90
