Variable:,pr
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
1964,458.33,954.79,NaN,519.23,522.47,1244.80,675.95,204.17,1571.92,823.17,295.71
1965,360.17,600.64,NaN,353.06,431.48,777.00,457.58,145.12,1121.20,564.15,305.67
1966,418.92,968.34,NaN,506.15,505.56,1239.60,473.55,267.95,1169.89,756.39,317.00
1967,431.63,540.82,NaN,409.34,603.87,932.90,568.84,151.79,954.52,385.58,353.33
1968,549.79,822.22,NaN,552.67,694.72,708.30,654.64,337.18,1447.45,741.86,442.46
1969,436.23,1072.29,NaN,653.89,573.03,1567.50,479.94,256.63,1363.00,709.89,286.31
1970,404.44,1030.12,NaN,568.05,391.74,1145.90,558.60,168.19,1534.70,808.06,281.24
1971,507.75,869.96,NaN,613.63,546.75,1036.20,746.49,251.87,1574.57,781.82,338.53
1972,381.25,674.41,NaN,466.83,459.49,1087.30,610.73,156.87,979.87,510.09,217.08
1973,668.79,1095.05,NaN,779.65,759.94,1307.80,936.17,402.29,1468.62,977.23,458.63
1974,749.89,1418.08,NaN,812.29,1059.79,2148.00,972.73,444.95,1478.49,971.66,492.90
1975,601.78,1138.88,NaN,629.38,816.24,1727.50,826.30,309.26,1676.83,824.19,392.28
1976,551.52,873.92,NaN,702.42,782.32,1706.20,819.40,251.08,1217.45,599.96,293.43
1977,492.47,736.18,NaN,500.45,764.82,1134.40,767.99,173.83,1177.94,579.44,256.02
1978,538.70,1165.06,NaN,738.21,632.73,1855.30,687.15,260.46,1255.05,858.02,385.55
1979,467.91,609.25,NaN,439.20,586.84,813.60,676.86,335.54,1211.38,647.15,287.37
1980,450.47,707.25,NaN,407.88,565.09,694.30,538.70,207.92,1253.36,628.34,401.35
1981,557.31,974.27,NaN,574.05,699.47,1201.10,866.71,272.11,1319.41,762.73,338.45
1982,419.52,422.90,NaN,347.13,582.74,585.70,467.77,155.84,993.28,380.30,414.00
1983,506.33,1104.59,NaN,696.39,577.62,1318.50,672.41,246.22,1113.72,789.36,354.98
1984,560.64,1114.12,NaN,698.40,723.49,1588.60,737.25,238.48,1295.69,682.72,405.42
1985,416.42,927.73,NaN,554.75,489.90,1356.40,576.90,189.08,1225.82,703.53,266.60
1986,419.15,880.58,NaN,463.90,481.47,1081.40,520.57,217.90,1304.93,694.32,334.07
1987,476.47,767.33,NaN,571.66,634.31,1043.50,591.15,239.30,1054.42,649.45,346.79
1988,474.99,1105.25,NaN,705.96,524.21,1595.70,587.02,255.83,1250.80,763.00,338.90
1989,480.13,1102.62,NaN,648.89,505.81,1642.90,722.33,232.43,1206.78,783.30,298.60
1990,435.48,983.65,NaN,623.88,452.55,1519.80,604.35,218.31,1188.09,665.34,296.31
1991,477.68,902.08,NaN,482.66,620.91,1231.00,737.89,187.99,1253.29,682.08,296.99
1992,466.72,1129.86,NaN,659.45,461.51,1480.60,526.16,363.43,1364.75,894.52,347.48
1993,498.84,970.79,NaN,591.11,654.49,994.90,550.70,257.69,1236.70,804.29,398.74
1994,355.25,657.67,NaN,379.14,458.02,851.30,457.60,145.19,1053.28,508.43,273.55
1995,522.67,1018.20,NaN,604.09,659.34,1309.50,612.54,259.25,1235.60,767.70,425.36
1996,477.74,961.34,NaN,604.48,505.49,1090.40,627.44,203.51,1472.49,764.79,376.14
1997,527.30,609.74,NaN,474.66,688.18,941.20,688.40,266.74,1057.10,500.21,439.16
1998,548.90,981.86,NaN,654.73,599.97,1316.30,809.72,267.75,1216.23,635.98,395.78
1999,573.91,946.86,NaN,678.08,662.74,1261.80,768.80,217.47,1084.77,657.68,479.27
2000,648.92,826.09,NaN,613.25,887.84,946.60,860.67,281.29,1219.29,737.02,508.86
2001,496.90,814.86,NaN,502.32,742.28,971.00,519.56,279.64,1311.13,659.86,397.75
2002,343.00,568.28,NaN,359.99,441.94,854.30,401.76,130.84,1105.86,492.35,294.81
2003,466.77,820.57,NaN,510.52,676.58,1118.50,530.53,237.09,1250.68,659.25,349.98
2004,496.68,734.53,NaN,528.43,631.65,956.80,655.45,205.50,1227.71,639.62,388.44
2005,407.03,910.83,NaN,510.95,517.64,1105.50,474.30,212.17,1312.98,669.01,298.61
2006,455.37,515.73,NaN,365.92,580.70,787.60,596.80,156.73,836.87,398.29,432.16
2007,468.92,784.84,NaN,547.60,543.82,1269.90,691.85,224.53,1077.36,617.50,318.00
2008,470.14,704.42,NaN,556.06,540.68,981.50,662.19,186.83,949.89,527.45,367.41
2009,483.17,576.67,NaN,494.44,612.31,839.10,734.21,216.67,1415.72,553.34,313.16
2010,644.57,1146.18,NaN,821.83,780.65,1455.00,1082.01,337.83,1175.85,898.66,300.23
