Variable:,tas
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
1967,21.43,11.26,NaN,17.47,24.29,16.70,22.94,18.91,10.20,14.11,22.07
1968,21.24,11.28,NaN,17.25,24.50,17.02,22.90,18.87,10.04,14.09,21.50
1969,21.62,11.03,NaN,17.24,24.67,16.85,23.41,18.75,10.32,13.85,22.26
1970,21.48,10.50,NaN,16.73,24.82,16.35,22.94,18.54,10.16,13.57,22.37
1971,21.35,10.68,NaN,16.89,24.74,16.47,22.82,18.86,10.57,13.99,21.87
1972,21.78,11.13,NaN,17.39,24.86,16.77,22.86,19.16,10.85,14.24,22.78
1973,22.09,11.65,NaN,17.94,25.41,17.46,23.80,19.55,10.80,14.26,22.44
1974,20.97,10.77,NaN,16.81,23.67,16.56,22.30,18.62,10.78,14.08,21.74
1975,21.40,11.23,NaN,17.40,24.34,17.05,22.96,18.95,10.52,14.32,21.91
1976,20.96,10.67,NaN,16.63,23.65,16.57,22.22,18.24,10.34,13.86,22.03
1977,21.59,11.22,NaN,17.50,24.11,17.06,22.68,19.24,10.35,14.04,22.68
1978,21.34,11.03,NaN,16.90,24.37,16.78,22.66,18.55,10.40,13.99,22.27
1979,21.94,11.56,NaN,17.88,25.03,17.28,23.30,19.39,10.61,14.34,22.63
1980,22.31,11.82,NaN,18.18,25.57,17.74,23.75,19.78,10.92,14.54,22.90
1981,21.86,11.63,NaN,17.83,25.00,17.25,23.20,19.45,11.11,14.62,22.44
1982,21.67,11.62,NaN,17.79,24.36,17.18,23.06,19.41,10.73,14.50,22.34
1983,21.96,11.45,NaN,17.55,24.96,17.20,23.50,19.34,10.46,14.18,22.74
1984,21.24,10.49,NaN,16.66,24.29,16.47,22.69,18.64,10.38,13.59,22.08
1985,21.77,11.02,NaN,17.21,24.94,16.86,23.11,19.00,10.56,14.09,22.67
1986,21.78,10.69,NaN,17.13,25.35,16.72,23.60,18.94,10.25,13.58,22.24
1987,21.73,10.92,NaN,17.36,24.83,17.02,23.50,18.96,10.39,13.86,22.35
1988,22.33,11.84,NaN,17.94,25.60,17.64,23.95,19.66,11.49,14.88,22.85
1989,21.54,11.03,NaN,17.20,24.69,16.96,22.91,18.81,10.97,14.18,22.31
1990,22.04,11.51,NaN,17.76,25.47,17.23,23.32,19.61,10.86,14.57,22.60
1991,22.20,11.58,NaN,17.92,25.19,17.52,23.35,19.77,10.51,14.28,23.14
1992,21.68,10.50,NaN,16.90,25.23,16.50,23.37,18.74,10.28,13.66,22.30
1993,21.91,11.25,NaN,17.62,25.04,17.20,23.71,19.46,10.93,14.16,22.31
1994,21.84,11.11,NaN,17.41,24.70,17.05,23.06,19.31,10.40,13.99,22.88
1995,21.68,10.78,NaN,17.17,24.93,16.65,23.54,19.07,9.93,13.61,22.17
1996,22.03,10.69,NaN,17.12,25.44,16.59,23.52,19.32,9.99,13.50,22.90
1997,21.72,11.56,NaN,17.83,24.59,17.25,23.19,19.38,10.56,14.26,22.29
1998,22.33,11.73,NaN,17.78,25.64,17.67,23.97,19.39,10.70,14.07,23.08
1999,21.81,11.49,NaN,17.62,24.87,17.19,23.16,19.65,11.19,14.54,22.36
2000,21.45,11.44,NaN,17.50,24.24,17.25,22.81,19.76,11.10,14.57,21.82
2001,21.48,11.54,NaN,17.64,24.21,17.45,23.27,19.27,11.03,14.43,21.79
2002,22.16,11.53,NaN,18.07,25.16,17.35,23.75,19.66,10.97,14.43,22.75
2003,22.12,11.44,NaN,17.79,25.19,17.14,23.84,19.63,10.83,14.29,22.66
2004,21.99,11.57,NaN,17.82,25.10,17.47,23.57,19.69,10.37,14.15,22.49
2005,22.48,11.66,NaN,18.15,25.80,17.56,24.14,19.96,11.06,14.53,22.94
2006,21.83,11.72,NaN,17.96,24.72,17.34,23.46,19.70,10.27,14.29,22.21
2007,21.99,11.94,NaN,18.18,24.92,17.49,23.28,19.98,11.18,14.92,22.44
2008,21.71,11.06,NaN,17.37,25.00,16.64,23.02,19.44,10.53,14.16,22.29
2009,22.11,11.98,NaN,18.23,25.16,17.55,23.36,20.07,10.87,14.71,22.62
2010,21.49,11.43,NaN,17.36,24.19,17.19,22.71,18.84,10.92,14.17,22.48
2011,21.44,11.35,NaN,17.56,23.85,17.18,22.61,19.42,10.92,14.41,22.30
2012,21.75,11.16,NaN,17.54,24.50,16.99,22.98,19.45,11.25,14.52,22.60
2013,22.72,12.19,NaN,18.45,25.94,17.91,24.19,20.43,11.48,15.11,23.22
2014,22.54,12.36,NaN,18.60,25.29,18.07,24.00,20.34,11.59,15.23,23.12
2015,22.33,11.84,NaN,18.05,25.11,17.64,23.92,19.68,11.05,14.65,23.14
2016,22.42,12.43,NaN,18.47,25.57,18.26,24.20,19.67,11.57,15.01,22.80
2017,22.49,12.30,NaN,18.60,25.42,18.13,24.33,20.06,11.44,15.01,22.80
2018,22.49,12.30,NaN,18.54,25.55,18.04,24.10,20.13,11.56,15.16,22.88
2019,22.79,12.51,NaN,18.67,25.88,18.32,24.04,20.26,11.45,15.05,23.59
2020,22.57,12.08,NaN,18.22,25.71,17.90,24.21,19.65,11.08,14.58,23.30
2021,22.06,11.19,NaN,17.53,25.15,17.06,23.87,19.26,10.99,14.35,22.68
